agency,site,date_time,qual_code,timezone,flow,wuql_code,comments
USGS,luke,2017-05-28,A,EST,290,NA,NA
USGS,luke,2017-05-29,A,EST,578,NA,NA
USGS,luke,2017-05-30,A,EST,579,NA,NA
USGS,luke,2017-05-31,A,EST,276,NA,NA
USGS,luke,2017-06-01,A,EST,273,NA,NA
USGS,luke,2017-06-02,A,EST,276,NA,NA
USGS,luke,2017-06-03,A,EST,272,NA,NA
USGS,luke,2017-06-04,A,EST,269,NA,NA
USGS,luke,2017-06-05,A,EST,268,NA,NA
USGS,luke,2017-06-06,A,EST,266,NA,NA
USGS,luke,2017-06-07,A,EST,265,NA,NA
USGS,luke,2017-06-08,A,EST,269,NA,NA
USGS,luke,2017-06-09,A,EST,247,NA,NA
USGS,luke,2017-06-10,A,EST,233,NA,NA
USGS,luke,2017-06-11,A,EST,234,NA,NA
USGS,luke,2017-06-12,A,EST,234,NA,NA
USGS,luke,2017-06-13,A,EST,234,NA,NA
USGS,luke,2017-06-14,A,EST,234,NA,NA
USGS,luke,2017-06-15,A,EST,239,NA,NA
USGS,luke,2017-06-16,A,EST,216,NA,NA
USGS,luke,2017-06-17,A,EST,198,NA,NA
USGS,luke,2017-06-18,A,EST,196,NA,NA
USGS,luke,2017-06-19,A,EST,196,NA,NA
USGS,luke,2017-06-20,A,EST,196,NA,NA
USGS,luke,2017-06-21,A,EST,196,NA,NA
USGS,luke,2017-06-22,A,EST,196,NA,NA
USGS,luke,2017-06-23,A,EST,196,NA,NA
USGS,luke,2017-06-24,A,EST,196,NA,NA
USGS,luke,2017-06-25,A,EST,195,NA,NA
USGS,luke,2017-06-26,A,EST,193,NA,NA
USGS,luke,2017-06-27,A,EST,193,NA,NA
USGS,luke,2017-06-28,A,EST,193,NA,NA
USGS,luke,2017-06-29,A,EST,194,NA,NA
USGS,luke,2017-06-30,A,EST,193,NA,NA
USGS,luke,2017-07-01,A,EST,193,NA,NA
USGS,luke,2017-07-02,A,EST,193,NA,NA
USGS,luke,2017-07-03,A,EST,193,NA,NA
USGS,luke,2017-07-04,A,EST,192,NA,NA
USGS,luke,2017-07-05,A,EST,192,NA,NA
USGS,luke,2017-07-06,A,EST,193,NA,NA
USGS,luke,2017-07-07,A,EST,193,NA,NA
USGS,luke,2017-07-08,A,EST,193,NA,NA
USGS,luke,2017-07-09,A,EST,178,NA,NA
USGS,luke,2017-07-10,A,EST,160,NA,NA
USGS,luke,2017-07-11,A,EST,445,NA,NA
USGS,luke,2017-07-12,A,EST,698,NA,NA
USGS,luke,2017-07-13,A,EST,543,NA,NA
USGS,luke,2017-07-14,A,EST,369,NA,NA
USGS,luke,2017-07-15,A,EST,288,NA,NA
USGS,luke,2017-07-16,A,EST,366,NA,NA
USGS,luke,2017-07-17,A,EST,459,NA,NA
USGS,luke,2017-07-18,A,EST,369,NA,NA
USGS,luke,2017-07-19,A,EST,287,NA,NA
USGS,luke,2017-07-20,A,EST,283,NA,NA
USGS,luke,2017-07-21,A,EST,243,NA,NA
USGS,luke,2017-07-22,A,EST,200,NA,NA
USGS,luke,2017-07-23,A,EST,198,NA,NA
USGS,luke,2017-07-24,A,EST,202,NA,NA
USGS,luke,2017-07-25,A,EST,198,NA,NA
USGS,luke,2017-07-26,A,EST,195,NA,NA
USGS,luke,2017-07-27,A,EST,184,NA,NA
USGS,luke,2017-07-28,A,EST,167,NA,NA
USGS,luke,2017-07-29,A,EST,169,NA,NA
USGS,luke,2017-07-30,A,EST,163,NA,NA
USGS,luke,2017-07-31,A,EST,165,NA,NA
USGS,luke,2017-08-01,A,EST,170,NA,NA
USGS,luke,2017-08-02,A,EST,169,NA,NA
USGS,luke,2017-08-03,A,EST,168,NA,NA
USGS,luke,2017-08-04,A,EST,167,NA,NA
USGS,luke,2017-08-05,A,EST,165,NA,NA
USGS,luke,2017-08-06,A,EST,165,NA,NA
USGS,luke,2017-08-07,A,EST,165,NA,NA
USGS,luke,2017-08-08,A,EST,166,NA,NA
USGS,luke,2017-08-09,A,EST,164,NA,NA
USGS,luke,2017-08-10,A,EST,160,NA,NA
USGS,luke,2017-08-11,A,EST,257,NA,NA
USGS,luke,2017-08-12,A,EST,384,NA,NA
USGS,luke,2017-08-13,A,EST,384,NA,NA
USGS,luke,2017-08-14,A,EST,342,NA,NA
USGS,luke,2017-08-15,A,EST,342,NA,NA
USGS,luke,2017-08-16,A,EST,328,NA,NA
USGS,luke,2017-08-17,A,EST,261,NA,NA
USGS,luke,2017-08-18,A,EST,184,NA,NA
USGS,luke,2017-08-19,A,EST,175,NA,NA
USGS,luke,2017-08-20,A,EST,164,NA,NA
USGS,luke,2017-08-21,A,EST,163,NA,NA
USGS,luke,2017-08-22,A,EST,163,NA,NA
USGS,luke,2017-08-23,A,EST,163,NA,NA
USGS,luke,2017-08-24,A,EST,166,NA,NA
USGS,luke,2017-08-25,A,EST,173,NA,NA
USGS,luke,2017-08-26,A,EST,170,NA,NA
