unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-15T04:00:00Z,yesterday,NA,daily average withdrawals,5/16/1999,113.618,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-16T04:00:00Z,yesterday,NA,daily average withdrawals,5/17/1999,120.166,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-17T04:00:00Z,yesterday,NA,daily average withdrawals,5/18/1999,117.213,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-18T04:00:00Z,yesterday,NA,daily average withdrawals,5/19/1999,128.559,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-19T04:00:00Z,yesterday,NA,daily average withdrawals,5/20/1999,120.855,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-20T04:00:00Z,yesterday,NA,daily average withdrawals,5/21/1999,106.325,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-21T04:00:00Z,yesterday,NA,daily average withdrawals,5/22/1999,105.889,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-22T04:00:00Z,yesterday,NA,daily average withdrawals,5/23/1999,100.571,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-23T04:00:00Z,yesterday,NA,daily average withdrawals,5/24/1999,103.588,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-24T04:00:00Z,yesterday,NA,daily average withdrawals,5/25/1999,104.407,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-25T04:00:00Z,yesterday,NA,daily average withdrawals,5/26/1999,103.211,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-26T04:00:00Z,yesterday,NA,daily average withdrawals,5/27/1999,95.007,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-27T04:00:00Z,yesterday,NA,daily average withdrawals,5/28/1999,104.94,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-28T04:00:00Z,yesterday,NA,daily average withdrawals,5/29/1999,99.354,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-29T04:00:00Z,yesterday,NA,daily average withdrawals,5/30/1999,102.505,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-30T04:00:00Z,yesterday,NA,daily average withdrawals,5/31/1999,145.171,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-31T04:00:00Z,yesterday,NA,daily average withdrawals,6/1/1999,149.951,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-01T04:00:00Z,yesterday,NA,daily average withdrawals,6/2/1999,167.126,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-02T04:00:00Z,yesterday,NA,daily average withdrawals,6/3/1999,131.605,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-03T04:00:00Z,yesterday,NA,daily average withdrawals,6/4/1999,106.667,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-04T04:00:00Z,yesterday,NA,daily average withdrawals,6/5/1999,124.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-05T04:00:00Z,yesterday,NA,daily average withdrawals,6/6/1999,126.58,MGD,
