unique_id,supplier,location,day,time,measurement,today,value,units
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-31,107.77,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-01,116.12,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-02,138.04,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-03,96.56,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-04,110.02,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-05,119.34,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-06,141.63,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-07,110.14,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-09-08,107.15,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-01,28.37,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-02,41.67,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-03,32.69,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-04,29.95,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-05,43.02,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-06,38.7,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-07,48.26,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-08,52.43,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-09,43.37,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-10,40.12,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-11,14.62,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-12,0.39,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-13,27.46,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-14,43.93,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-15,45.94,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-16,52.14,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-17,46.26,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-18,57.35,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-19,57.47,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-20,57.33,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-21,57.54,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-22,57.9,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-23,57.98,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-24,59.25,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-25,55.74,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-05-26,55.83,MGD
