agency,site,date_time,flow,comments
USGS,goose,2017-05-03T00:00:00Z,199,
USGS,goose,2017-05-04T00:00:00Z,175,
USGS,goose,2017-05-05T00:00:00Z,1570,
USGS,goose,2017-05-06T00:00:00Z,1640,
USGS,goose,2017-05-07T00:00:00Z,941,
USGS,goose,2017-05-08T00:00:00Z,660,
USGS,goose,2017-05-09T00:00:00Z,510,
USGS,goose,2017-05-10T00:00:00Z,430,
USGS,goose,2017-05-11T00:00:00Z,1540,
USGS,goose,2017-05-12T00:00:00Z,2330,
USGS,goose,2017-05-13T00:00:00Z,2750,
USGS,goose,2017-05-14T00:00:00Z,1990,
USGS,goose,2017-05-15T00:00:00Z,1260,
USGS,goose,2017-05-16T00:00:00Z,928,
USGS,goose,2017-05-17T00:00:00Z,745,
USGS,goose,2017-05-18T00:00:00Z,654,
USGS,goose,2017-05-19T00:00:00Z,1100,
USGS,goose,2017-05-20T00:00:00Z,735,
USGS,goose,2017-05-21T00:00:00Z,560,
USGS,goose,2017-05-22T00:00:00Z,533,
USGS,goose,2017-05-23T00:00:00Z,544,
USGS,goose,2017-05-24T00:00:00Z,613,
USGS,goose,2017-05-25T00:00:00Z,2310,
USGS,goose,2017-05-26T00:00:00Z,2240,
USGS,goose,2017-05-27T00:00:00Z,1050,
USGS,goose,2017-05-28T00:00:00Z,848,
USGS,goose,2017-05-29T00:00:00Z,723,
USGS,goose,2017-05-30T00:00:00Z,626,
USGS,goose,2017-05-31T00:00:00Z,1080,
USGS,goose,2017-06-01T00:00:00Z,575,
USGS,goose,2017-06-02T00:00:00Z,459,
USGS,goose,2017-06-03T00:00:00Z,392,
USGS,goose,2017-06-04T00:00:00Z,345,
USGS,goose,2017-06-05T00:00:00Z,320,
USGS,goose,2017-06-06T00:00:00Z,329,
USGS,goose,2017-06-07T00:00:00Z,293,
USGS,goose,2017-06-08T00:00:00Z,348,
USGS,goose,2017-06-09T00:00:00Z,279,
USGS,goose,2017-06-10T00:00:00Z,243,
USGS,goose,2017-06-11T00:00:00Z,219,
USGS,goose,2017-06-12T00:00:00Z,202,
USGS,goose,2017-06-13T00:00:00Z,187,
USGS,goose,2017-06-14T00:00:00Z,173,
USGS,goose,2017-06-15T00:00:00Z,163,
USGS,goose,2017-06-16T00:00:00Z,159,
USGS,goose,2017-06-17T00:00:00Z,168,
USGS,goose,2017-06-18T00:00:00Z,168,
USGS,goose,2017-06-19T00:00:00Z,158,
USGS,goose,2017-06-20T00:00:00Z,205,
USGS,goose,2017-06-21T00:00:00Z,152,
USGS,goose,2017-06-22T00:00:00Z,126,
USGS,goose,2017-06-23T00:00:00Z,121,
USGS,goose,2017-06-24T00:00:00Z,139,
USGS,goose,2017-06-25T00:00:00Z,132,
USGS,goose,2017-06-26T00:00:00Z,101,
USGS,goose,2017-06-27T00:00:00Z,86.5,
USGS,goose,2017-06-28T00:00:00Z,80.2,
USGS,goose,2017-06-29T00:00:00Z,72.2,
USGS,goose,2017-06-30T00:00:00Z,67.6,
USGS,goose,2017-07-01T00:00:00Z,74.7,
USGS,goose,2017-07-02T00:00:00Z,103,
USGS,goose,2017-07-03T00:00:00Z,77.2,
USGS,goose,2017-07-04T00:00:00Z,62,
USGS,goose,2017-07-05T00:00:00Z,93.1,
USGS,goose,2017-07-06T00:00:00Z,1170,
USGS,goose,2017-07-07T00:00:00Z,851,
USGS,goose,2017-07-08T00:00:00Z,343,
USGS,goose,2017-07-09T00:00:00Z,194,
